STRUCTURE,STRUCTURE_ID,STRUCTURE_NAME,ACTION,DONOR,Donor,RECIPIENT,Recipient,MEASURE,Measure,UNIT_MEASURE,Unit of measure,PRICE_BASE,Price base,TIME_PERIOD,Time period,OBS_VALUE,Observation value,BASE_PER,Base period,UNIT_MULT,Unit multiplier,FLOW_TYPE,Flow type,OBS_STATUS,Observation status
DATAFLOW,OECD.DCD.FSD:DSD_DAC2@DF_DAC2A(1.4),DAC2A: Aid (ODA) disbursements to countries and regions,I,NLD,Netherlands,ALLR,All recipients,206,"Official development assistance (ODA), disbursements",USD,US dollar,Q,Constant prices,2015,,7209.141232,,2023,,6,Millions,D,Disbursements,A,Normal value
DATAFLOW,OECD.DCD.FSD:DSD_DAC2@DF_DAC2A(1.4),DAC2A: Aid (ODA) disbursements to countries and regions,I,NLD,Netherlands,ALLR,All recipients,206,"Official development assistance (ODA), disbursements",USD,US dollar,Q,Constant prices,2014,,5919.79484,,2023,,6,Millions,D,Disbursements,A,Normal value
DATAFLOW,OECD.DCD.FSD:DSD_DAC2@DF_DAC2A(1.4),DAC2A: Aid (ODA) disbursements to countries and regions,I,NLD,Netherlands,ALLR,All recipients,206,"Official development assistance (ODA), disbursements",USD,US dollar,Q,Constant prices,2013,,5789.711232,,2023,,6,Millions,D,Disbursements,A,Normal value
DATAFLOW,OECD.DCD.FSD:DSD_DAC2@DF_DAC2A(1.4),DAC2A: Aid (ODA) disbursements to countries and regions,I,NLD,Netherlands,ALLR,All recipients,206,"Official development assistance (ODA), disbursements",USD,US dollar,Q,Constant prices,2016,,6236.035499,,2023,,6,Millions,D,Disbursements,A,Normal value
DATAFLOW,OECD.DCD.FSD:DSD_DAC2@DF_DAC2A(1.4),DAC2A: Aid (ODA) disbursements to countries and regions,I,NLD,Netherlands,ALLR,All recipients,206,"Official development assistance (ODA), disbursements",USD,US dollar,Q,Constant prices,2018,,6352.957332,,2023,,6,Millions,D,Disbursements,A,Normal value
DATAFLOW,OECD.DCD.FSD:DSD_DAC2@DF_DAC2A(1.4),DAC2A: Aid (ODA) disbursements to countries and regions,I,NLD,Netherlands,ALLR,All recipients,206,"Official development assistance (ODA), disbursements",USD,US dollar,Q,Constant prices,2017,,6020.427614,,2023,,6,Millions,D,Disbursements,A,Normal value
DATAFLOW,OECD.DCD.FSD:DSD_DAC2@DF_DAC2A(1.4),DAC2A: Aid (ODA) disbursements to countries and regions,I,NLD,Netherlands,ALLR,All recipients,206,"Official development assistance (ODA), disbursements",USD,US dollar,Q,Constant prices,2019,,6085.234365,,2023,,6,Millions,D,Disbursements,A,Normal value
DATAFLOW,OECD.DCD.FSD:DSD_DAC2@DF_DAC2A(1.4),DAC2A: Aid (ODA) disbursements to countries and regions,I,NLD,Netherlands,ALLR,All recipients,206,"Official development assistance (ODA), disbursements",USD,US dollar,Q,Constant prices,2011,,6614.310046,,2023,,6,Millions,D,Disbursements,A,Normal value
DATAFLOW,OECD.DCD.FSD:DSD_DAC2@DF_DAC2A(1.4),DAC2A: Aid (ODA) disbursements to countries and regions,I,NLD,Netherlands,ALLR,All recipients,206,"Official development assistance (ODA), disbursements",USD,US dollar,Q,Constant prices,2012,,6147.355418,,2023,,6,Millions,D,Disbursements,A,Normal value
DATAFLOW,OECD.DCD.FSD:DSD_DAC2@DF_DAC2A(1.4),DAC2A: Aid (ODA) disbursements to countries and regions,I,POL,Poland,ALLR,All recipients,206,"Official development assistance (ODA), disbursements",USD,US dollar,Q,Constant prices,2019,,926.012044,,2023,,6,Millions,D,Disbursements,A,Normal value
